,cod,sigla_casa,nome_casa,sigla_subtipo,nome_subtipo,ind_tramitando,data_votacao,ano_votacao,mes_votacao,dia_votacao
0,4906,SF,Senado Federal,MSF,MENSAGEM (SF),Não,1993-05-05,1993,05,05
1,5333,SF,Senado Federal,MSF,MENSAGEM (SF),Não,1993-05-05,1993,05,05
2,5348,SF,Senado Federal,MSF,MENSAGEM (SF),Não,1993-05-05,1993,05,05
3,5364,SF,Senado Federal,MSF,MENSAGEM (SF),Não,1993-05-05,1993,05,05
4,22838,SF,Senado Federal,PLC,PROJETO DE LEI DA CÂMARA,Não,1993-01-13,1993,01,13
5,19958,SF,Senado Federal,PLC,PROJETO DE LEI DA CÂMARA,Não,1993-04-01,1993,04,01
6,19295,SF,Senado Federal,PLC,PROJETO DE LEI DA CÂMARA,Não,1993-01-14,1993,01,14
7,53780,SF,Senado Federal,MSF,MENSAGEM (SF),Não,2002-12-18,2002,12,18
8,53746,SF,Senado Federal,PLC,PROJETO DE LEI DA CÂMARA,Não,2002-12-17,2002,12,17
9,45574,SF,Senado Federal,PRS,PROJETO DE RESOLUÇÃO DO SENADO,Não,2002-12-05,2002,12,05
10,53185,SF,Senado Federal,MSF,MENSAGEM (SF),Não,2002-12-04,2002,12,04
11,45760,SF,Senado Federal,PEC,PROPOSTA DE EMENDA À CONSTITUIÇÃO,Não,2002-12-04,2002,12,04
12,43384,SF,Senado Federal,PLS,PROJETO DE LEI DO SENADO,Não,2002-12-04,2002,12,04
13,48888,SF,Senado Federal,PLS,PROJETO DE LEI DO SENADO,Não,2002-12-04,2002,12,04
14,53171,SF,Senado Federal,MSF,MENSAGEM (SF),Não,2002-11-27,2002,11,27
15,50286,SF,Senado Federal,PLS,PROJETO DE LEI DO SENADO,Não,2002-11-20,2002,11,20
16,17694,SF,Senado Federal,PDS,PROJETO DE DECRETO LEGISLATIVO (SF),Não,1996-12-04,1996,12,04
17,6337,SF,Senado Federal,MSF,MENSAGEM (SF),Não,1996-12-03,1996,12,03
18,6253,SF,Senado Federal,MSF,MENSAGEM (SF),Não,1996-11-27,1996,11,27
19,16655,SF,Senado Federal,PDS,PROJETO DE DECRETO LEGISLATIVO (SF),Não,1996-10-30,1996,10,30
20,16730,SF,Senado Federal,PDS,PROJETO DE DECRETO LEGISLATIVO (SF),Não,1996-10-30,1996,10,30
21,16783,SF,Senado Federal,PDS,PROJETO DE DECRETO LEGISLATIVO (SF),Não,1996-10-30,1996,10,30
