,cod,sigla_casa,nome_casa,sigla_subtipo,nome_subtipo,ind_tramitando,data_votacao,ano_votacao,mes_votacao,dia_votacao,ementa,autor_principal,outros_autores
0,828,SF,Senado Federal,PEC,PROPOSTA DE EMENDA À CONSTITUIÇÃO,Não,1998-11-18,1998,11,18,"ALTERA O INCISO VI DO ARTIGO 29 DA CONSTITUIÇÃO FEDERAL.             
      ",22,[]
1,24816,SF,Senado Federal,PLS,PROJETO DE LEI DO SENADO,Não,1997-12-04,1997,12,04,"CRIA O FUNDO DE TERRAS E DA OUTRAS PROVIDENCIAS.  COMPLEMENTAR.       
      ",22,[]
2,807,SF,Senado Federal,PEC,PROPOSTA DE EMENDA À CONSTITUIÇÃO,Não,1997-05-14,1997,05,14,"Dá nova redação ao artigo 62 da Constituição Federal (adoção de medidas provisórias).              
      ",22,[]
3,18466,SF,Senado Federal,PEC,PROPOSTA DE EMENDA À CONSTITUIÇÃO,Não,1996-06-25,1996,06,25,"ALTERA DISPOSITIVOS DA CONSTITUIÇÃO FEDERAL.                          
      ",63,[]
4,47830,SF,Senado Federal,PEC,PROPOSTA DE EMENDA À CONSTITUIÇÃO,Não,2001-09-05,2001,09,05,"Altera dispositivos dos artigos 48, 57, 61, 62, 64, 66, 84, 88 e 246 da Constituição Federal, e dá outras providências (adoção de medidas provisórias).",22,[]
5,40987,SF,Senado Federal,PEC,PROPOSTA DE EMENDA À CONSTITUIÇÃO,Não,2001-09-04,2001,09,04,"Dá nova redação aos §§ 2º e 3º do artigo 14 da Constituição Federal (concede cidadania ativa e passiva ao estrangeiro, restrita a nível municipal).",945,[]
6,44443,SF,Senado Federal,PEC,PROPOSTA DE EMENDA À CONSTITUIÇÃO,Não,2001-08-15,2001,08,15,"Altera o artigo 75 da Constituição Federal, para facultar a nomeação de membros das Cortes de Contas dos Estados, do Distrito Federal e dos Municípios através de concurso público.",945,[]
7,71550,SF,Senado Federal,PEC,PROPOSTA DE EMENDA À CONSTITUIÇÃO,Não,2006-02-01,2006,02,01,Altera a denominação da Zona Franca de Manaus para Pólo Industrial da Amazônia Brasileira.,0,['945']
8,126473,SF,Senado Federal,PEC,PROPOSTA DE EMENDA À CONSTITUIÇÃO,Não,2016-11-23,2016,11,23,"Altera os §§ 1º, 2º e 3º, do art. 17 da Constituição Federal e a ele acrescenta os §§ 5º, 6º, 7º e 8º, para autorizar distinções entre partidos políticos, para fins de funcionamento parlamentar, com base no seu desempenho eleitoral.",0,"['4981', '945', '5529', '3830', '5537', '5008', '3361', '5533', '5525', '5012', '677', '5527', '3396', '5535', '878']"
9,49551,SF,Senado Federal,PEC,PROPOSTA DE EMENDA À CONSTITUIÇÃO,Não,2002-06-05,2002,06,05,Acrescenta o art. 149-A à Constituição Federal. (Institui contribuição para custeio do serviço de iluminação pública no Distrito Federal e Municípios).,945,[]
