,cod,cod_pub,nome,sexo,tratamento,url_foto,url_pag,email,uf,data_nasc,naturalidade,uf_naturalidade,endereco,telefones,filiacoes,votos_favor,votos_contra,afastado
0,4981,916,Acir Marcos Gurgacz,Masculino,Senador ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador4981.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/4981,sen.acirgurgacz@senado.leg.br,RO,1962-02-25,Cascavel,PR,Senado Federal Anexo 2   Ala Tancredo Neves Gabinete 56,"['33033131', '33033132']","[{'cod': '20', 'data_filiacao': '2009-11-05', 'data_desfiliacao': None}]","['124116', '125429', '128136', '129808', '128659', '129619', '127644', '127792', '129547', '80152', '132243', '105470', '131643', '131746', '131003', '129030', '127681', '129171', '94536', '126135', '130047', '128554', '130929', '129378', '121801', '122449', '128545', '111574', '85326', '142499', '143646', '141944', '140850', '141439', '141840', '140392', '140394', '142089', '139882', '141443', '141363', '143101', '141144', '142691', '141308', '142022', '142136', '142088', '141436', '140100', '141614', '139736', '141321', '139427', '142596', '141309', '141193', '141561', '141571', '141270', '142442', '141863', '143258', '142263', '142016', '141346', '141174', '143156', '143611', '142077', '143551', '141297', '141417', '141475', '142085', '142091', '140096', '141756', '141437', '140385', '141962', '141354', '141837', '141823', '141814', '140367', '141306', '141219', '141114', '142690', '141349', '141111', '141415', '140534', '141375', '141819', '141815', '141816', '141110', '141109', '138177', '144655', '142693', '141753', '141368', '140424', '140423', '139928', '141674', '137999', '135594', '130919', '123903', '129807', '134910', '126084', '132922', '135064', '127414', '135983', '132678', '133495', '133779', '130847', '136775', '137305', '128634', '133613', '133412', '131419', '134583', '116081', '117839', '139897', '137122', '137315', '138555', '118042', '139005', '121353', '134723', '139277', '135603', '137438', '133552', '131868', '132081', '130672', '129997', '131028', '131775', '131872', '120742', '101736', '99477', '100923', '100754', '99107', '100418', '100412', '98793', '99824', '98670', '98657', '118712', '122646', '115729', '101237', '122308', '122031', '121373', '122009', '115831', '120296', '121072', '101011', '119401', '119551', '120300', '119714', '119633', '116962', '100330', '112831', '98613', '115051', '118163', '100215', '118221', '112456', '114042', '118070', '118092', '111567', '90932', '117498', '115833', '105791', '117101', '116699', '98688', '115169', '116682', '124207', '85181', '84520', '88335', '59111', '64097', '91651', '82056', '99546', '108259', '123466', '120179', '123245', '123298', '124027', '120492', '122324', '122759', '117041', '123103', '122739', '120843', '115593', '122772', '114234', '114143', '113088', '92006', '100475', '100122', '103049', '95866', '95916', '96850', '96261', '95066', '94373', '87948', '84117', '112691', '112464', '100009', '109761', '109150', '95964', '97421', '83562', '96327', '105017', '98788', '96673', '104266', '103776', '102551', '102107', '88888', '93784', '102439', '93639', '82930', '87198', '123551', '127898', '127879', '128035', '49264', '125733', '125734', '121968', '126094', '125567', '118418', '121704', '123060', '106824', '91341', '124476', '125708', '123715', '122838', '123467', '123432', '112161', '105947', '90255', '103765', '100715', '100325', '99497', '104348', '113218']","['129808', '131318', '141944', '140850', '141443', '143258', '142016', '140385', '141814', '143574', '142693', '141674', '137999', '138555', '102721', '105470', '125723', '97352', '100418', '99189', '121072', '119539', '120300', '119714', '100330', '118736', '115051', '111567', '115940', '60148', '113546', '124207', '120179', '123298', '117041', '121952', '114234', '114143', '114601', '113088', '96674', '101405', '95866', '109615', '106056', '102551', '102107', '101621', '125567', '125364', '123715', '103793', '104348', '113218', '113049']",Não
1,5982,829,Alessandro Vieira,Masculino,Senador ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5982.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5982,sen.alessandrovieira@senado.leg.br,SE,1975-04-03,Passo Fundo,RS,Senado Federal Anexo 2   Ala Afonso Arinos Gabinete 08,"['33039011', '33039014', '33039019']","[{'cod': '41', 'data_filiacao': '2019-01-01', 'data_desfiliacao': None}]","['142499', '143646', '141944', '140850', '141439', '141840', '140392', '140394', '142089', '139882', '141443', '141363', '143101', '141144', '142691', '141308', '142022', '142136', '142088', '141436', '140100', '141614', '139736', '141321', '139427', '142596', '141309', '141193', '141561', '141571', '141270', '142442', '143258', '142263', '142016', '141346', '141174', '143156', '143597', '143611', '142077', '143551', '141297', '141417', '141475', '142085', '142091', '140096', '141756', '141437', '140385', '141962', '141354', '141837', '141823', '141814', '140367', '141306', '141219', '141114', '124513', '141349', '141111', '141415', '140534', '141375', '141815', '141816', '141110', '141109', '138177', '144655', '143574', '135147', '142693', '141753', '141368', '140424', '140423', '139928', '141674', '137999', '135594', '130919', '129807', '134910', '135064', '127414', '123903', '135983', '136775', '138555', '137305', '129887', '116081', '132847', '137178', '135079', '139897', '137122', '137315', '118042', '139005', '117839', '121353', '139277', '135603', '136913', '137438', '136635']","['141944', '140850', '141443', '141863', '142016', '143258', '140385', '142690', '135147', '142693', '136173', '137999', '128634', '134583', '138555']",Não
2,945,855,Alvaro Fernandes Dias,Masculino,Senador ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador945.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/945,sen.alvarodias@senado.leg.br,PR,1944-12-07,Quatá,SP,Senado Federal Anexo 2   Ala Nilo Coelho 1º Pavimento Gabinete 10,"['33034059', '33034060', '33032941']","[{'cod': '577', 'data_filiacao': '2017-07-01', 'data_desfiliacao': None}, {'cod': '91', 'data_filiacao': '2016-01-11', 'data_desfiliacao': '2017-06-30'}, {'cod': '66', 'data_filiacao': '2003-08-14', 'data_desfiliacao': '2016-01-07'}, {'cod': '20', 'data_filiacao': '2001-09-26', 'data_desfiliacao': '2003-08-13'}, {'cod': '66', 'data_filiacao': '1999-02-01', 'data_desfiliacao': '2001-09-25'}]","['839', '125429', '128136', '131869', '105470', '131643', '131003', '129030', '129171', '131777', '132167', '131776', '126135', '121801', '127863', '111574', '85326', '142499', '143646', '141944', '140850', '141439', '141840', '140392', '140394', '142089', '139882', '141443', '141363', '143101', '142691', '142022', '142136', '142088', '141436', '140100', '141614', '139736', '141321', '139427', '142596', '141309', '141193', '141561', '141571', '141270', '142442', '143258', '142263', '142016', '141346', '141174', '143156', '143597', '143611', '142077', '143551', '141297', '141475', '142085', '142091', '140096', '141756', '141437', '140385', '141354', '141837', '141823', '141814', '140367', '141306', '141219', '141114', '124513', '141349', '141111', '141415', '140534', '141375', '141819', '141815', '141816', '141110', '141109', '144655', '135147', '141753', '141368', '140423', '139928', '141674', '137999', '135594', '130919', '123903', '129807', '134910', '122767', '132922', '135064', '127414', '133779', '122909', '130029', '129887', '133412', '134583', '116081', '132847', '137178', '135079', '139897', '137122', '137315', '138555', '118042', '139005', '117839', '121353', '139277', '135603', '136635', '132081', '126414', '131028', '116074', '131872', '99477', '97352', '100418', '99189', '98657', '121896', '115729', '101237', '115831', '121072', '120030', '101011', '120300', '116962', '100330', '100215', '118070', '118092', '111567', '90932', '117498', '115833', '105791', '117101', '116699', '98688', '115169', '60148', '113086', '113546', '865', '41053', '843', '41754', '44127', '43492', '1390', '43348', '863', '45171', '47389', '45834', '47377', '879', '42571', '49557', '49561', '49182', '85181', '88335', '59111', '64097', '91651', '82056', '106404', '108390', '120179', '120492', '122324', '122759', '117041', '120843', '121952', '114143', '113088', '80262', '92006', '100475', '100122', '95349', '101405', '64718', '85668', '75570', '95866', '96850', '96261', '95066', '92052', '92221', '84485', '91624', '83840', '84005', '84379', '84436', '85105', '85277', '85636', '86379', '86511', '87306', '87614', '88499', '80384', '83009', '69113', '70774', '59177', '76944', '72589', '57110', '87005', '79560', '50089', '100009', '110889', '109761', '109615', '105190', '101037', '106347', '106227', '101022', '101807', '80674', '102990', '82419', '102933', '95964', '97421', '83562', '96327', '84520', '106056', '98788', '96673', '104266', '103776', '102551', '71608', '53378', '44577', '56700', '68712', '67962', '63304', '68661', '68093', '58396', '64715', '66651', '64820', '62161', '65088', '62771', '50765', '57026', '60903', '101053', '102107', '83013', '40354', '41054', '48035', '65843', '114234', '93639', '82930', '87198', '88340', '123551', '45483', '1546', '40941', '48580', '41526', '813', '43730', '47830', '40987', '46823', '44093', '44443', '818', '64716', '76077', '76618', '44798', '76145', '63986', '66712', '56318', '71550', '75535', '65677', '49264', '127681', '101007', '64739', '58362', '73272', '66949', '69754', '45393', '56066', '74638', '41052', '60041', '127337', '126473', '126409', '125733', '125567', '118418', '123060', '106824', '91341', '124476', '125708', '123909', '121426', '119852', '123715', '124815', '56303', '56188', '841', '46674', '43565', '47868', '49506', '49423', '49551', '50185', '50212', '82744', '62763', '49190', '80297', '82182', '78488', '77760', '44289', '42564', '47976', '48183', '48869', '49225', '48848', '1121', '47260', '49099', '49095', '44885', '48479', '47980', '47269', '48602', '47834', '1025', '46582', '103793', '62800', '56008', '63410', '1206', '40848', '58714', '112161', '105947', '90255', '103765', '100715', '113104', '99067', '56281', '99497', '113218', '113049', '67696', '68116', '67089', '81781', '123221', '126817', '864', '17310', '17289', '17178', '17207', '17318', '17343', '17956', '834', '17095', '17146', '16990', '17057', '17400', '16966', '17806', '17375', '1541', '816', '1587', '42831', '43066', '833', '46003', '1597', '42251', '43334', '42257', '42823', '42611', '40521', '43151', '44880', '42450', '44134', '43997', '41441', '43826', '41711', '43190', '42824', '42718', '42785', '41409', '43153', '42449', '814', '42400', '41825', '1424', '881', '42178', '895', '1528', '891', '649', '40336', '647', '41042', '41598', '723', '796', '775', '597', '771', '742', '765', '40843', '599', '41060', '650', '40368', '751', '793', '1524', '717', '679', '40918', '40927', '40930', '40943', '40563', '887']","['129808', '129619', '127644', '129171', '130047', '129378', '128545', '129049', '141944', '140850', '141443', '141144', '141308', '141863', '143258', '142016', '141297', '140385', '141962', '142690', '138177', '135147', '143574', '142693', '141368', '136173', '137999', '135983', '128634', '132056', '138555', '105470', '129997', '101736', '100923', '100754', '99107', '100418', '100412', '98793', '99824', '99256', '99261', '98670', '121373', '122009', '119551', '119714', '116962', '115940', '116682', '116866', '113086', '1500', '833', '834', '99546', '119550', '108259', '123466', '123245', '124027', '117041', '114143', '112214', '113088', '83750', '85036', '101963', '103049', '96674', '86666', '86662', '86383', '84651', '84015', '95866', '93267', '92221', '88892', '85587', '50089', '112691', '112464', '109150', '105017', '104943', '98788', '103351', '102551', '44577', '63306', '67029', '64476', '65628', '65509', '66736', '64065', '62161', '65088', '50765', '60903', '102107', '88888', '83981', '83982', '71725', '101621', '1100', '48035', '65843', '77626', '114234', '102439', '40941', '1552', '41050', '76077', '66712', '40263', '75700', '127898', '128035', '58362', '74153', '71314', '127337', '121968', '124476', '56382', '56303', '861', '49551', '49557', '50185', '82744', '82502', '83210', '82471', '82059', '79870', '49742', '103793', '40848', '59189', '113104', '99067', '113338', '113218', '67695', '81781', '864', '666', '42831', '42251', '43122', '41441', '43826', '42718', '41711', '43190', '40910', '42716', '42062', '42064', '40350', '697']",Não
3,5967,832,Angelo Mario Coronel de Azevedo Martins,Masculino,Senador ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5967.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5967,sen.angelocoronel@senado.leg.br,BA,1958-05-03,Coração de Maria,BA,Senado Federal Anexo 2   Ala Afonso Arinos Gabinete 03,"['33036103', '33036105']","[{'cod': '557', 'data_filiacao': '2019-01-01', 'data_desfiliacao': None}]","['142499', '143646', '141944', '140850', '141439', '141840', '140392', '140394', '142089', '139882', '141443', '141363', '143101', '141144', '142691', '141308', '142022', '142136', '142088', '140100', '141614', '139736', '141321', '139427', '142596', '141309', '141193', '141561', '141571', '141270', '142442', '141863', '143258', '142263', '142016', '141346', '141174', '143156', '143597', '143611', '142077', '143551', '141297', '141417', '141475', '142085', '142091', '140096', '141756', '141437', '141962', '141354', '141837', '141823', '141814', '140367', '141306', '141219', '141114', '124513', '142690', '141349', '141111', '141415', '140534', '141375', '141819', '141815', '141816', '141110', '141109', '138177', '144655', '135147', '142693', '141753', '141368', '140423', '139928', '141674', '137999', '135594', '130919', '129807', '134910', '127414', '138555', '128634', '130029', '134583', '132847', '137315', '117839', '135603', '137438']","['141944', '140850', '141443', '143258', '142016', '140385', '141814', '135147', '143574', '142693', '141368', '141674', '137999', '135064', '135079', '138555', '136913', '136635']",Não
4,5529,898,Antonio Augusto Junho Anastasia,Masculino,Senador ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5529.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5529,sen.antonioanastasia@senado.leg.br,MG,1961-05-09,Belo Horizonte,MG,Senado Federal Anexo 2   Ala Tancredo Neves Gabinete 51,['33035717'],"[{'cod': '557', 'data_filiacao': '2020-02-12', 'data_desfiliacao': None}, {'cod': '66', 'data_filiacao': '2015-02-01', 'data_desfiliacao': '2020-02-11'}]","['125429', '128136', '129808', '129619', '127644', '129547', '80152', '132243', '131869', '105470', '131643', '131746', '127681', '129171', '94536', '131852', '100405', '131777', '132167', '126135', '129378', '129244', '121801', '129391', '127863', '128545', '111574', '128659', '129049', '142499', '143646', '141944', '140850', '141439', '141840', '140392', '140394', '142089', '139882', '141443', '141363', '143101', '141144', '142691', '141308', '142022', '142136', '142088', '141436', '140100', '141614', '139736', '141321', '142596', '141309', '141193', '141561', '141571', '142442', '142263', '142016', '141346', '143156', '143611', '142077', '143551', '141417', '141475', '142085', '142091', '140096', '141756', '141437', '140385', '141354', '141837', '141823', '141814', '140367', '142690', '141349', '141111', '141415', '140534', '141375', '141819', '141815', '141816', '144655', '135147', '142693', '141753', '141368', '140424', '140423', '139928', '141674', '137999', '135594', '130919', '136173', '123903', '129807', '134910', '126084', '122767', '132922', '135064', '127414', '132678', '133495', '133779', '130847', '136775', '138555', '137305', '128634', '129887', '133412', '131419', '134583', '116081', '132847', '137178', '135079', '117839', '139897', '137122', '137315', '136913', '137438', '136635', '131868', '130672', '126414', '131028', '128550', '116074', '131775', '131872', '125723', '120742', '118712', '122646', '115729', '101237', '122031', '122308', '115831', '118636', '120554', '122117', '121072', '120030', '101011', '119401', '119539', '120159', '120300', '119633', '116962', '100330', '112831', '98613', '120179', '123245', '123298', '120492', '122324', '122759', '117041', '120843', '115593', '126992', '126826', '123551', '127879', '128035', '49264', '101007', '127337', '126473', '127406', '126409', '126236', '125733', '125734', '121968', '126094', '125567', '118418', '121704', '123060', '106824', '91341', '124476', '125708', '124219', '123909', '121426', '119852', '123715', '124815', '123221', '126817']","['124116', '129808', '131318', '131003', '129049', '141944', '140850', '141443', '142016', '143258', '141297', '140385', '141962', '141814', '141375', '135147', '143574', '142693', '141368', '141674', '137999', '132056', '138555', '132081', '102721', '105470', '129997', '122392', '121373', '122009', '122307', '120296', '121072', '120159', '113104', '120300', '119714', '100330', '118736', '123466', '120179', '124027', '117041', '121952', '127262', '101621', '127337', '125364', '123715', '122838', '123432']",Não
5,6295,945,Carlos Henrique Baqueta Fávaro,Masculino,Senador ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador6295.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/6295,sen.carlosfavaro@senado.leg.br,MT,1969-10-19,Bela Vista do Paraiso,PR,Senado Federal Anexo 2   Ala Teotônio Vilela Gabinete 15,['33036408'],"[{'cod': '557', 'data_filiacao': '2020-04-10', 'data_desfiliacao': None}]","['141443', '142499', '143646', '141944', '140850', '141439', '141840', '140392', '140394', '142089', '139882', '143101', '141144', '142691', '141308', '142022', '142136', '142088', '141436', '140100', '141614', '141309', '141193', '141561', '141571', '141863', '143258', '142263', '142016', '141346', '143156', '143597', '143611', '142077', '141417', '141475', '142085', '142091', '140096', '141756', '141437', '140385', '141962', '141354', '141837', '141823', '141814', '140367', '142690', '141349', '141111', '141415', '140534', '141375', '141819', '141815', '141816', '144655', '141753', '141368', '140424', '140423', '139928', '141674']","['141944', '140850', '142596', '143258', '142016', '141297', '140385', '141814', '141375', '143574', '142693', '141368', '141674']",Não
6,5936,949,Carlos Francisco Portinho,Masculino,Senador ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5936.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5936,,RJ,1973-07-02,Rio de Janeiro,RJ,Senado Federal Anexo 2   Ala Teotônio Vilela Gabinete 19,"['33036640', '33036646']","[{'cod': '557', 'data_filiacao': '2020-11-02', 'data_desfiliacao': None}]",['135147'],['143574'],Não
7,5990,843,Carlos Alberto Dias Viana,Masculino,Senador ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5990.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5990,sen.carlosviana@senado.leg.br,MG,1963-03-22,Braunas,MG,Senado Federal Anexo 2   Ala Teotônio Vilela Gabinete 23,['33033100'],"[{'cod': '557', 'data_filiacao': '2019-01-01', 'data_desfiliacao': None}]","['142499', '141944', '140850', '141439', '141840', '140392', '140394', '142089', '139882', '141443', '141363', '143101', '142691', '141308', '142022', '142136', '142088', '140100', '141614', '139736', '141321', '139427', '142596', '141309', '141193', '141561', '141571', '141270', '142442', '141863', '143258', '142263', '142016', '141346', '141174', '143156', '143597', '143611', '142077', '143551', '141417', '141475', '142085', '142091', '141756', '141437', '140385', '141962', '141354', '141837', '141814', '140367', '141219', '141114', '124513', '142690', '141349', '141111', '141415', '140534', '141375', '141819', '141815', '141816', '141109', '138177', '144655', '135147', '142693', '141753', '141368', '140424', '140423', '139928', '141674', '137999', '135594', '130919', '136173', '123903', '129807', '134910', '135064', '127414', '135983', '136775', '138555', '122909', '137305', '128634', '130029', '129887', '134583', '116081', '132847', '137178', '135079', '139897', '137122', '118042', '139005', '117839', '121353', '139277', '135603', '136913', '137438']","['141944', '140850', '141443', '141144', '141436', '143258', '142016', '141297', '141417', '140385', '141823', '141814', '141306', '135147', '143574', '142693', '141368', '137999', '138555', '136635']",Não
8,5973,825,Cid Ferreira Gomes,Masculino,Senador ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5973.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5973,sen.cidgomes@senado.leg.br,CE,1963-04-27,Sobral,CE,Senado Federal Anexo 1  10º Pavimento  ,"['33036460', '33036399']","[{'cod': '20', 'data_filiacao': '2019-01-01', 'data_desfiliacao': None}]","['142499', '143646', '141944', '140850', '141439', '140392', '143101', '142691', '142022', '142136', '142088', '140100', '141614', '139736', '141321', '142596', '141309', '141193', '141571', '143258', '142016', '143597', '143611', '142077', '141297', '141417', '142085', '140096', '141756', '140385', '141962', '141354', '141837', '141814', '140367', '141349', '140534', '144655', '141368', '140424', '139928', '135594', '130919', '123903', '129807', '134910', '137999', '127414', '135983', '128634', '129887', '132847', '139897', '137122', '118042', '139005', '121353', '139277', '135603', '137438', '136635']","['140394', '141443', '141308', '143258', '140385', '142690', '137999']",Não
9,739,811,Ciro Nogueira Lima Filho,Masculino,Senador ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador739.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/739,sen.cironogueira@senado.leg.br,PI,1968-11-21,Teresina,PI,Senado Federal Anexo 1  3º Pavimento  ,"['33036187', '33036188', '33036192']","[{'cod': '418', 'data_filiacao': '2004-02-14', 'data_desfiliacao': None}, {'cod': '22', 'data_filiacao': '1999-02-01', 'data_desfiliacao': '2004-02-13'}]","['124116', '125429', '128136', '129619', '127644', '127792', '129547', '80152', '132243', '131869', '130444', '127681', '129171', '121667', '94536', '131852', '100405', '131777', '132167', '129378', '129244', '121801', '122449', '129391', '127863', '128545', '111574', '85326', '128659', '129049', '143646', '141944', '140850', '141439', '141840', '140392', '140394', '142089', '139882', '141443', '143101', '141144', '142691', '141308', '142022', '142136', '142088', '141436', '140100', '141614', '139736', '141321', '139427', '142596', '141309', '141193', '141561', '141571', '141270', '142442', '141863', '143258', '142263', '142016', '141346', '141174', '143156', '143597', '143611', '142077', '143551', '141417', '141475', '142085', '142091', '140096', '141756', '141437', '140385', '141962', '141354', '141837', '141823', '141814', '140367', '141306', '141219', '141114', '124513', '142690', '141349', '141111', '141415', '140534', '141375', '141819', '141815', '141816', '141110', '141109', '138177', '144655', '135147', '142693', '141368', '140424', '140423', '139928', '141674', '137999', '130919', '123903', '129807', '126084', '127414', '135983', '132678', '133495', '130847', '136775', '138555', '122909', '137305', '128634', '130029', '129887', '134583', '132847', '137178', '135079', '117839', '139897', '137122', '137315', '118042', '121353', '139277', '135603', '137438', '133552', '132081', '105470', '130672', '131028', '128550', '116074', '131775', '131872', '125723', '120742', '101736', '99477', '100923', '100754', '99107', '99824', '98670', '121994', '118712', '122646', '101237', '122031', '121373', '122308', '118636', '115831', '122307', '121572', '120296', '121072', '101011', '119401', '119551', '120159', '120300', '119714', '119633', '116962', '111567', '118221', '90932', '115833', '105791', '117101', '116436', '98688', '115169', '116682', '116866', '113086', '113546', '99546', '119550', '108390', '123466', '120179', '123245', '123298', '120492', '122324', '122759', '117041', '120843', '115593', '122772', '114143', '112214', '112691', '112464', '100009', '109761', '109150', '105190', '101037', '101022', '101807', '80674', '92006', '102990', '82419', '102933', '104943', '98788', '103776', '103351', '102551', '126826', '114234', '123551', '127898', '127879', '128035', '49264', '101007', '127337', '126473', '126409', '126236', '125978', '126094', '125567', '118418', '121704', '123060', '106824', '91341', '124476', '125708', '124219', '123909', '121426', '119852', '123715', '124815', '122838', '123467', '123432', '103793', '112161', '90255', '103765', '108759', '100715', '113104', '99067', '113338', '56281', '100325', '123221', '126817']","['129808', '131318', '131003', '129171', '128554', '130929', '129049', '141944', '140850', '141443', '143258', '142016', '141297', '140385', '141814', '141375', '135147', '143574', '142693', '141368', '141674', '137999', '133613', '132056', '138555', '136635', '102721', '97352', '99189', '122308', '122307', '121072', '120159', '113104', '120300', '119714', '100330', '111567', '113086', '108390', '123298', '117041', '114143', '112214', '114601', '96674', '101405', '100009', '110889', '109615', '106056', '104814', '98788', '102551', '101053', '101621', '114234', '127337', '125364', '103793', '99067']",Não
